हेपेटाइटिस- बची तपासणी.	hepatitis- bachi tapasni.
ह्या किल्ल्याच्या दक्षिणेला वरळी असून उत्तरेला वांद्रे आहे.	hya killyachya dakshinela varali asoon uttarela vandre ahe.
नवनाथ मंदिर, पालथी नगरी पैठण	navnath mandir, palathi nagari paithan
जैन ह्या फिक्कीच्या महिला विभागाच्या संस्थापक अध्यक्ष आहेत.	jain hya phikkichya mahila vibhagachya sansthapak adhyaksha ahet.
बहुतांश मुस्लिम राजघराण्यांतील नाण्यांवर हिजरी तारखा पहावयास मिळतात.	bahutansh muslim rajgharanyatil nanyanvar hijari tarakha pahavayas milatat.
ग.वि.केतकर हे काही काळ मराठा या इंग्रजी वर्तमानपत्राचेही संपादक होते.	G.V.Ketkar he kahi kal maratha ya engraji vartmanpatrachehi sampadak hote.
अर्थ विषयक माहिती असणारे व त्याबाबत सल्ला देवू शकणाऱ्यांना अर्थशास्त्राच्या विद्वानाला अर्थतज्ज्ञ किंवा अर्थशास्त्रज्ञ म्हणतात.	arth vishayak mahiti asanare va tyababat salla devu shakanaryanna arthshatrachya vidwanala arthtadnya kinva arthshastradnya mhantat.
म्हैस हा प्राणी सर्वसाधारण काळ्या रंगाचा असतो.	mhais ha prani sarvsadharan kalya rangacha asato.
हिवाळ्यात येथील हवामान थंड असते व सकाळी धुके पडते.	hivalyat yethil havaman thand asate va sakali dhuke padate.
पत्रकारिता या क्षेत्रात नोकरीच्या अनेक संधी आहेत यामध्ये महिलांना चागल्या संधी आहेत	patrakarita ya kshetrat noukarichya anek sandhi ahet yamadhye mahilanna chaglya sandhi ahet.
मंजिरी धामणकर (जन्म : ११ नोव्हेंबर, इ.स. १९५९) या एकपात्री नाट्य सादर करणार्‍या एक मराठी कलावंत, कवयित्री आणि लेखिका आहेत.	manjiri dhamankar (janm : 11 november, e.s. 1959) ya ekpatri natya sadar karnarya ek marathi kalavant, kaviyatri ani lekhika ahet.
हा संघ फ्लोरिडाच्या टॅम्पा शहरात स्थित आहे.	ha sangh floridachya tampa shaharat sthit ahe.
हा व्याजदर म्हणजेच कॅश रिझर्व रेशो दर होय.	ha vyajdar mhanjech cash reserve repo dar hoy.
भाववीणा (काव्यसंग्रह)	bhavvina (kavyasangrah)
याच्या शुद्धीकरणा नंतर पेट्रोल, डीझेल व इतर उत्पादने मिळतात.	yanchya shudhikarana nantar petrol, desel va etar utpadane miltat.
आविष्कार	avishkar
ब्रिस्बेन क्रिकेट ग्राउंड, ब्रिस्बेन	brisben cricket ground, brisben
अभिजात संगीताच्या प्रसारार्थ कार्यरत असलेल्या गानवर्धन संस्थेतर्फे वाद्यदुरुस्ती करणार्‍या साबण्णा भीमण्णा बुरूड यांना वाद्य कारागीर पुरस्काराने सन्मानित करण्यात आले आहे.	abhijat sangitachya prasararth karyarat asalelya ganvardhan sansthetarphe vadyadurusti karnarya sabanna Bhimanna burud yanna vadya karagir puraskarane sanmanit karnyat aale ahe.
तर संस्थापक कार्यवाह ग.	tar sansthapak karyvah G.
पवित्र सम्राट थियोडॉसियस किंवा दुसरा थियोडॉसियस तथा धाकटा थियोडॉसियस (१० एप्रिल, इ.	pavitra samrat thiyodosiyas kinva dusara thiyodosiyas tatha dhakata thiyodosiyas (10 april, e.
आनंद यादव म्हणतात तर 'ललितनिबंधातील खरी कलात्मकता आणि खरे लालित्य अभिव्यक्त करणार्‍या, नव्या आणि खर्‍याखुर्‍या ललित निबंधाच्या अग्रदूत' असे प्रा.	anand yadav mhantat tar 'lalitnibandhatil khari kalatmakata ani khare lalitya abhivyakt karnarya, navya ani kharyakhurya lalit nibandhachya agradut' ase pra.
